source,target,proximity
14564,14625,88
14568,14625,68
14571,14625,1
14572,14625,2
14580,14625,533
14586,14625,83
14589,14625,43
14590,14625,3
14604,14625,9
14605,14625,33
14606,14625,127
14607,14625,133
14608,14625,35
14609,14625,276
14610,14625,170
14611,14625,43
14612,14625,224
14613,14625,43
14614,14625,7
14615,14625,92
14616,14625,156
14617,14625,181
14618,14625,173
14619,14625,57
14620,14625,142
14621,14625,108
14622,14625,120
14623,14625,132
14624,14625,163
14626,14625,149
14627,14625,3
14836,14625,2
14837,14625,3
13143,14626,9
13146,14626,11
14058,14626,6
14098,14626,11
14103,14626,34
14105,14626,2
14125,14626,5
14411,14626,61
14414,14626,25
14416,14626,46
14418,14626,2
14420,14626,261
14422,14626,24
14423,14626,33
14424,14626,56
14425,14626,27
14428,14626,110
14432,14626,6
14433,14626,13
14435,14626,6
14437,14626,35
14441,14626,1
14445,14626,49
14450,14626,267
14454,14626,19
14456,14626,44
14462,14626,2
14464,14626,152
14466,14626,5
14467,14626,80
14468,14626,449
14469,14626,13
14470,14626,126
14471,14626,3
14472,14626,65
14475,14626,1
14476,14626,39
14477,14626,19
14478,14626,1
14479,14626,2
14480,14626,4
14481,14626,6
14482,14626,38
14485,14626,16
14487,14626,19
14489,14626,28
14502,14626,42
14504,14626,2
14505,14626,11
14506,14626,8
14507,14626,1
14510,14626,9
14511,14626,2
14512,14626,9
14513,14626,52
14514,14626,96
14516,14626,5
14517,14626,10
14519,14626,40
14522,14626,36
14525,14626,11
14526,14626,164
14527,14626,10
14532,14626,11
14533,14626,5
14534,14626,227
14537,14626,1
14543,14626,24
14544,14626,1
14545,14626,1
14546,14626,47
14548,14626,11
14551,14626,21
14555,14626,5
14559,14626,396
14560,14626,6
14561,14626,9
14564,14626,25
14568,14626,21
14571,14626,17
14572,14626,3
14580,14626,426
14586,14626,91
14589,14626,30
14590,14626,24
14604,14626,13
14605,14626,90
14606,14626,531
14607,14626,150
14608,14626,87
14609,14626,435
14610,14626,115
14611,14626,165
14612,14626,897
14613,14626,154
14614,14626,7
14615,14626,362
14616,14626,710
14617,14626,301
14618,14626,150
14619,14626,154
14620,14626,171
14621,14626,307
14622,14626,161
14623,14626,171
14624,14626,608
14625,14626,122
14627,14626,3
14822,14626,1
14836,14626,1
14837,14626,3
14842,14626,2
13143,14414,1
13146,14414,3
14058,14414,3
14098,14414,1
14103,14414,7
14105,14414,3
14125,14414,4
14411,14414,21
14416,14414,8
14418,14414,1
14420,14414,12
14422,14414,6
14423,14414,72
