beta,size,network,seed,realization,times
0.5,0.0,Albany,12059,11,"[103.1, 112.8, 121.9, 132.1, 162.1, 184.1, 203.2, 229.4, 372.6, 1547.8]"
0.5,0.0,Albany,12059,12,"[42.9, 59.0, 68.2, 88.1, 115.5, 149.1, 189.0, 220.3, 351.9, 766.1]"
0.5,0.0,Albany,12059,13,"[183.3, 207.7, 219.1, 228.7, 238.9, 275.6, 315.4, 347.6, 426.9, 6441.7]"
0.5,0.0,Albany,12059,14,"[43.5, 58.0, 68.8, 78.1, 93.0, 112.8, 131.4, 162.6, 307.2, 2507.8]"
0.5,0.0,Albany,12059,15,"[170.2, 184.1, 195.1, 210.5, 220.6, 235.3, 262.2, 299.5, 415.7, 4370.7]"
0.5,0.0,Albany,12059,16,"[151.4, 164.6, 175.6, 197.9, 217.7, 241.7, 272.7, 294.1, 392.2, 1001.7]"
0.5,0.0,Albany,12059,17,"[123.4, 178.8, 206.1, 221.0, 232.9, 247.9, 269.3, 294.1, 356.8, 845.2]"
0.5,0.0,Albany,12059,18,"[93.4, 114.2, 125.2, 137.8, 150.0, 164.9, 188.5, 229.1, 296.7, 4887.6]"
0.5,0.0,Albany,12059,19,"[212.8, 298.3, 317.6, 326.0, 340.9, 355.7, 383.5, 426.0, 504.2, 1383.9]"
0.5,0.0,Albany,12059,20,"[42.4, 59.3, 71.7, 92.0, 106.5, 141.7, 163.2, 203.0, 248.7, 4382.3]"
0.5,0.0,Albany,12059,21,"[174.3, 242.4, 276.9, 286.4, 298.2, 314.1, 340.8, 392.1, 486.8, 2482.3]"
0.5,0.0,Albany,12059,22,"[99.8, 106.7, 120.4, 150.2, 173.3, 196.1, 239.2, 276.8, 346.1, 1540.9]"
0.5,0.0,Albany,12059,23,"[211.2, 233.9, 243.1, 260.2, 278.7, 295.5, 314.8, 336.7, 440.1, 9046.9]"
0.5,0.0,Albany,12059,24,"[150.7, 200.4, 217.6, 225.7, 236.9, 245.2, 270.7, 302.8, 415.3, 5293.0]"
0.5,0.0,Albany,12059,25,"[58.1, 68.9, 82.6, 107.2, 127.7, 153.5, 171.7, 215.9, 268.5, 522.4]"
0.5,0.0,Albany,12059,26,"[102.7, 144.2, 170.2, 178.1, 191.3, 209.4, 229.8, 270.0, 372.9, 1844.5]"
0.5,0.0,Albany,12059,27,"[93.4, 128.2, 153.5, 179.7, 220.0, 257.7, 283.7, 320.1, 381.3, 1738.8]"
0.5,0.0,Albany,12059,28,"[178.0, 240.0, 277.4, 283.9, 292.5, 307.9, 345.0, 364.3, 409.1, 2848.6]"
0.5,0.0,Albany,12059,29,"[98.6, 113.0, 132.8, 147.7, 163.2, 190.9, 259.0, 300.3, 355.7, 1608.3]"
0.5,0.0,Albany,12822,0,"[80.1, 96.9, 115.9, 131.0, 158.1, 173.2, 198.3, 246.9, 319.0, 959.4]"
0.5,0.0,Albany,12822,1,"[87.2, 104.1, 117.1, 147.4, 184.9, 224.2, 259.1, 294.5, 375.1, 2133.6]"
0.5,0.0,Albany,12822,2,"[102.0, 128.6, 150.7, 171.8, 209.9, 239.9, 257.2, 314.5, 359.6, 1899.4]"
0.5,0.0,Albany,12822,3,"[67.6, 83.6, 108.5, 135.8, 154.4, 177.9, 205.5, 262.8, 325.2, 1311.2]"
0.5,0.0,Albany,12822,4,"[104.7, 123.2, 132.6, 143.0, 172.5, 210.5, 305.5, 364.9, 433.7, 1446.4]"
0.5,0.0,Albany,12822,5,"[147.5, 159.9, 185.4, 211.4, 232.3, 248.6, 283.8, 326.5, 410.2, 5221.5]"
0.5,0.0,Albany,12822,6,"[39.5, 49.7, 57.2, 70.6, 91.9, 122.2, 157.3, 199.2, 255.5, 1704.9]"
0.5,0.0,Albany,12822,7,"[148.1, 174.9, 187.2, 207.6, 230.3, 244.4, 268.7, 334.6, 427.2, 2055.8]"
0.5,0.0,Albany,12822,8,"[123.6, 138.9, 152.2, 173.1, 190.8, 205.8, 231.9, 267.5, 336.0, 2221.9]"
0.5,0.0,Albany,12822,9,"[106.0, 129.9, 153.4, 174.0, 212.4, 249.3, 277.4, 311.8, 399.4, 1246.0]"
0.5,0.0,Albany,12822,10,"[37.1, 49.9, 65.1, 82.1, 118.1, 138.1, 159.9, 198.8, 262.7, 773.8]"
0.5,0.0,Albany,12822,11,"[65.2, 84.1, 95.6, 118.0, 142.8, 174.1, 223.4, 259.8, 334.6, 1597.8]"
0.5,0.0,Albany,12822,12,"[225.7, 239.5, 255.8, 280.7, 315.1, 357.5, 418.8, 475.4, 510.3, 1783.7]"
0.5,0.0,Albany,12822,13,"[65.1, 78.6, 106.9, 130.5, 154.1, 195.5, 225.5, 270.0, 328.2, 2124.0]"
0.5,0.0,Albany,12822,14,"[290.0, 307.5, 324.9, 346.0, 370.4, 387.2, 410.9, 439.1, 527.8, 3748.6]"
0.5,0.0,Albany,12822,15,"[52.3, 68.2, 77.6, 91.5, 115.5, 163.7, 195.4, 232.3, 295.6, 852.4]"
0.5,0.0,Albany,12822,16,"[22.6, 40.7, 52.0, 70.9, 96.2, 122.9, 164.2, 185.4, 236.9, 2464.6]"
0.5,0.0,Albany,12822,17,"[45.4, 62.4, 78.5, 93.3, 111.9, 140.1, 179.7, 233.8, 316.6, 640.4]"
0.5,0.0,Albany,12822,18,"[39.3, 47.4, 64.5, 90.6, 118.0, 132.2, 172.9, 211.4, 285.8, 6178.0]"
0.5,0.0,Albany,12822,19,"[151.8, 178.1, 191.5, 210.9, 271.6, 295.3, 312.2, 346.1, 426.5, 3521.9]"
0.5,0.0,Albany,12822,20,"[134.8, 177.1, 195.1, 209.3, 235.4, 273.2, 293.6, 327.4, 389.6, 2027.6]"
0.5,0.0,Albany,12822,21,"[59.4, 79.2, 92.0, 106.8, 139.8, 163.9, 192.2, 235.3, 284.9, 2075.2]"
0.5,0.0,Albany,12822,22,"[49.2, 58.6, 74.2, 86.1, 115.2, 134.4, 163.7, 214.5, 317.4, 2273.1]"
0.5,0.0,Albany,12822,23,"[96.0, 107.9, 116.9, 135.3, 151.9, 181.1, 222.9, 262.6, 330.0, 1481.8]"
0.5,0.0,Albany,12822,24,"[84.5, 109.3, 118.1, 131.8, 157.0, 184.8, 213.0, 259.1, 298.9, 3812.9]"
0.5,0.0,Albany,12822,25,"[89.8, 129.6, 142.7, 157.1, 171.1, 200.9, 229.5, 273.0, 347.8, 2228.3]"
0.5,0.0,Albany,12822,26,"[91.1, 99.5, 109.6, 139.5, 162.6, 196.7, 234.6, 276.5, 356.4, 1815.5]"
0.5,0.0,Albany,12822,27,"[51.4, 69.3, 91.8, 121.4, 140.6, 165.3, 195.0, 220.0, 343.6, 1608.4]"
0.5,0.0,Albany,12822,28,"[35.9, 53.1, 65.6, 81.7, 99.6, 128.3, 152.4, 183.5, 269.1, 2088.4]"
0.5,0.0,Albany,12822,29,"[88.0, 104.3, 118.8, 127.7, 156.5, 180.1, 218.7, 283.0, 349.3, 748.5]"
0.5,0.0,Albany,12193,0,"[138.8, 156.1, 174.4, 189.6, 206.5, 229.0, 261.7, 292.6, 377.3, 3237.2]"
0.5,0.0,Albany,12193,1,"[84.3, 96.6, 109.4, 121.2, 141.8, 171.2, 195.4, 242.0, 314.2, 874.8]"
0.5,0.0,Albany,12193,2,"[141.4, 155.5, 172.8, 198.6, 221.5, 240.7, 260.6, 277.2, 329.6, 7031.9]"
0.5,0.0,Albany,12193,3,"[96.8, 126.9, 141.9, 154.2, 168.8, 176.7, 214.4, 235.1, 315.7, 8401.4]"
0.5,0.0,Albany,12193,4,"[106.9, 127.7, 137.8, 148.3, 161.5, 188.8, 226.9, 267.1, 315.1, 952.7]"
0.5,0.0,Albany,12193,5,"[128.0, 137.6, 156.5, 163.9, 173.3, 188.2, 203.0, 254.1, 385.6, 9427.6]"
0.5,0.0,Albany,12193,6,"[114.5, 160.0, 168.5, 177.7, 191.4, 209.4, 230.7, 264.4, 345.2, 9751.1]"
0.5,0.0,Albany,12193,7,"[84.8, 96.7, 103.0, 114.1, 130.5, 165.9, 181.8, 215.8, 308.5, 5145.0]"
