source,target,metric,proximity,s_value,distance,metric_distance
12054,12835,False,0.0004462293618920125,9.865862169109572,2240.0,227.0455396197946
12054,12871,False,0.0012035303557100829,4.880333822981836,829.8888888888889,170.0475662096891
12054,12884,False,0.00015790304752881732,14.013575536360209,6332.0,451.84756620968915
12203,12009,True,0.011502095720830491,1.0,85.94067796610169,85.94067796610169
12203,12010,False,0.005992726070424863,1.4485892588612719,165.86896551724138,114.50379360649828
12203,12018,False,0.003995006242197253,2.0924142877344556,249.3125,119.15063926940638
12203,12019,False,0.007535308301756804,1.2984306403828472,131.70857142857142,101.43674011708215
12203,12020,False,0.009348290598290598,1.4149075371500899,105.97142857142858,74.89636304070899
12203,12023,False,0.0018083182640144665,1.8247280109870423,552.0,302.51083815028903
12203,12025,False,0.0011605211795115262,6.495774081255851,860.6818181818181,132.49873031535904
12203,12027,False,0.0022138701539412037,2.781101247055681,450.69767441860466,162.05726954232716
12203,12028,False,0.0001668706196462343,25.363790212448784,5991.666666666667,236.22915252334414
12203,12033,False,0.006440677966101695,1.4979869105045036,154.26315789473685,102.98031098468205
12203,12035,False,0.00011198208286674133,32.53688086072249,8929.0,274.42704290621816
12203,12041,False,0.0004476275738585497,6.719780825094946,2233.0,332.3025048169557
12203,12043,False,0.0017435897435897436,2.70123665557664,572.5294117647059,211.95085243002765
12203,12045,False,0.00027945450480661746,17.884066007288325,3577.4,200.03281124896856
12203,12046,False,0.00044660302573549935,11.75654006876072,2238.125,190.37276162117695
12203,12047,False,0.012967050291660098,1.042006713502863,76.11854103343465,73.04995260304099
12203,12052,False,0.0012078620841111233,3.015197310749052,826.9090909090909,274.24709088230964
12203,12053,False,0.0029935402552386955,1.660947805100486,333.05263157894734,200.51962533452274
12203,12056,False,0.0017023993190402723,2.983636531629908,586.40625,196.5407796101949
12203,12057,False,0.00044392653015925865,10.289457805694255,2251.625,218.82834280674493
12203,12059,False,0.0017594985429152691,2.4986631765446567,567.34375,227.05891507336594
12203,12061,False,0.008580202312138728,1.4480633429994028,115.54736842105262,79.79441574822067
12203,12062,False,0.0008250825082508251,5.604900422180654,1211.0,216.060930397198
12203,12065,True,0.01730774266188369,1.0,56.77760968229954,56.77760968229954
12203,12066,False,0.0008232259480818835,6.043371321961568,1213.7333333333333,200.8371269398316
12203,12067,False,0.0016195206218959188,3.503471571427348,616.4666666666667,175.95880374605474
12203,12074,False,0.00048205677557579,11.027999961873029,2073.4444444444443,188.016363040709
12203,12077,False,0.007848328684222968,1.4666296921035107,126.41566265060241,86.19467022332748
12203,12083,False,0.002286336418072945,2.041025151349363,436.38095238095235,213.80478927094654
12203,12084,True,0.012604187843057533,1.0,78.33870967741935,78.33870967741935
12203,12085,False,0.0012790568346123903,3.1134573792334606,780.8260869565216,250.79067796610164
12203,12086,False,0.0004920990759472907,14.331614947308731,2031.111111111111,141.72241708827966
12203,12087,False,0.0001675696810590404,27.134717371408403,5966.666666666666,219.89050355666083
12203,12090,False,0.0009062316754624447,5.428280450740474,1102.4705882352941,203.09757357597573
12203,12093,False,0.00011175681716584712,34.32281293775304,8947.0,260.67210797162943
12203,12094,False,0.0007620706548364269,5.640007363130827,1311.2142857142858,232.48449891852923
12203,12110,True,0.023156627767020776,1.0,42.184180790960454,42.184180790960454
12203,12118,False,0.006174692337378328,1.759622195654422,160.95138888888889,91.46928771777021
12203,12120,False,0.0002807884539787724,12.192950700874848,3560.4,292.00478927094656
12203,12121,False,0.0007620706548364269,5.816824641282687,1311.2142857142858,225.41753732929203
12203,12122,False,0.0011915077989601386,3.6078420171052232,838.2727272727274,232.34740415416562
12203,12123,False,0.003143519711414584,2.3466514493346917,317.11475409836066,135.13500447127208
12203,12134,False,0.0006608293408227325,7.679960863424862,1512.25,196.90855551126018
12203,12137,False,0.001416353434657079,3.498037495708616,705.0384615384615,201.55257409430317
12203,12138,False,0.0007025507998270644,6.243289660000288,1422.3846153846155,227.82614500454716
12203,12140,False,0.0008741736327378026,5.491714652463912,1142.9375,208.12033623910335
12203,12143,False,0.0029765013054830285,2.438937557430096,334.96491228070175,137.34050355666082
12203,12144,True,0.018132730125141376,1.0,54.14889336016097,54.14889336016097
12203,12148,False,0.003270311701584057,2.4153872498059425,304.78125,126.1831824377175
12203,12150,False,0.0008324546312225983,3.0874244789593677,1200.2666666666667,388.7598465473146
12203,12151,False,0.0003285690816494168,11.314768134440655,3042.5,268.896363040709
12203,12153,False,0.0005018960517510595,7.101629635191215,1991.4444444444446,280.4207691395362
12203,12154,False,0.0015518809867822551,3.259556656288926,643.3793103448276,197.3824596984697
12203,12156,False,0.0006119951040391676,6.959544005131571,1633.0000000000002,234.6418096926924
12203,12157,False,0.0012918505759500485,3.408536512809004,773.0833333333333,226.80799528717054
12203,12158,False,0.005611503582343805,1.644548299094774,177.20535714285714,107.75320934046033
12203,12159,True,0.014351540750695977,1.0,68.6789297658863,68.6789297658863
12203,12160,False,0.0001119256813475852,35.03071849650659,8933.5,255.01903424820952
12203,12167,False,0.0004439511653718091,8.971864648274403,2251.5,250.95117773907128
12203,12168,False,0.0008847600088476001,4.6986497139037535,1129.25,240.3350044712721
12203,12170,False,0.0016006609180564879,4.1728190000840515,623.741935483871,149.47735223389924
12203,12175,False,0.0002803790725060281,13.78271453884911,3565.6000000000004,258.7008524300277
12203,12180,True,0.02301991906238503,1.0,42.4406392694064,42.4406392694064
12203,12182,False,0.007533530743772862,2.106063245626832,131.7398843930636,62.55267246442714
12203,12183,False,0.0015780096716721812,5.03445377621149,632.7096774193549,125.67593338705345
12203,12184,False,0.004181442862435823,1.5733717959366207,238.1518987341772,151.36403191491462
12203,12185,False,0.0007638585770405937,5.388726947774413,1308.142857142857,242.75545408422124
12203,12186,True,0.008647838040489877,1.0,114.63583815028903,114.63583815028903
12203,12187,False,0.00011222085063404781,34.32310774207362,8910.0,259.5918780710533
12203,12188,False,0.0069813391877058175,1.43573725382725,142.23899371069183,99.07035102106937
12203,12189,True,0.014805397202969282,1.0,66.54293628808864,66.54293628808864
12203,12193,False,0.001863013698630137,2.257897387896126,535.7647058823529,237.28478927094653
12203,12196,False,0.002466620194112285,2.511558264436108,404.4130434782609,161.02076913953624
12203,12198,False,0.005499853986177358,2.0761564263531556,180.8230088495575,87.09507942384656
12203,12202,True,0.014332218102902613,1.0,68.77287066246058,68.77287066246058
12203,12206,True,0.02513017066820943,1.0,38.79280575539568,38.79280575539568
12203,12305,False,0.007993222336820392,1.6597392284657217,124.10599078341014,74.77439145553899
12203,12208,True,0.050064111696822906,1.0,18.97438816163916,18.97438816163916
12203,12309,True,0.018338523481488473,1.0,53.53001715265866,53.53001715265866
12203,12304,False,0.015128048121600691,1.0265888369723566,65.10238095238095,63.41621748428772
12203,12205,True,0.03327137546468401,1.0,29.05586592178771,29.05586592178771
12203,12207,True,0.01145311381531854,1.0,86.3125,86.3125
12203,12211,True,0.01714134021009519,1.0,57.33849557522123,57.33849557522123
12203,12302,False,0.011992005329780146,1.0034854483123026,82.3888888888889,82.1027240877817
12203,12866,False,0.008736314507322264,1.3460628267012582,113.46474358974358,84.29379471670505
12203,12204,True,0.013008603133701842,1.0,75.87220447284345,75.87220447284345
12203,12209,False,0.014399158055874474,1.2354449455644116,68.4485049833887,55.403929757564455
12203,12210,True,0.017308387563268256,1.0,56.775456919060055,56.775456919060055
12203,12222,True,0.007685069008782936,1.0,129.12244897959184,129.12244897959184
12203,12303,True,0.021606687446868802,1.0,45.281967213114754,45.281967213114754
12203,12308,False,0.009489078256986567,1.3955921144287162,104.38431372549019,74.79571763575045
12203,12306,True,0.016331747496982178,1.0,60.23043478260869,60.23043478260869
12203,12831,False,0.0042022211740491405,2.512963126901887,236.96938775510202,94.2987922179544
12203,12307,False,0.005055308073477151,1.635738577830895,196.8118811881188,120.31988720905835
